geslacht;leeftijdsklasse;gemeentenaam;aantal_bsn;aantal_verzekerdejaren;kosten_medisch_specialistische_zorg;kosten_farmacie;kosten_specialistische_ggz;kosten_huisarts_inschrijftarief;kosten_huisarts_consult;kosten_huisarts_mdz;kosten_huisarts_overig;kosten_hulpmiddelen;kosten_mondzorg;kosten_paramedische_zorg_fysiotherapie;kosten_paramedische_zorg_overig;kosten_ziekenvervoer_zittend;kosten_ziekenvervoer_liggend;kosten_kraamzorg;kosten_verloskundige_zorg;kosten_generalistische_basis_ggz;kosten_langdurige_ggz;kosten_grensoverschrijdende_zorg;kosten_eerstelijns_ondersteuning;kosten_geriatrische_revalidatiezorg;kosten_eerstelijnsverblijf;kosten_verpleging_en_verzorging;kosten_gzsp;kosten_integrale_geboortezorg;kosten_innovatiegelden_ggz;kosten_overig
V; 5 t/m  9 jaar;OUDE IJSSELSTREEK;834;826.59;181490.63;55446.01;0;59218.82;14204.19;2279.7;38503.67;17951.98;136798.26;19405.92;74524.39;0;801.19;0;0;0;0;177.9;0;0;0;13422.8;0;0;0;13272.16
V; 5 t/m  9 jaar;OUDER-AMSTEL;383;380.72;141400.24;15346.56;0;26810.88;8567.54;5791.22;25292.49;10970.32;77701.5;7394.91;16744.61;0;788.05;0;0;0;0;85.41;0;0;0;2244.75;0;0;0;3645.03
V; 5 t/m  9 jaar;OUDEWATER;298;296.67;83405.22;11635.18;0;20872.08;4567.6;1684.13;9350.45;5609.68;47721.42;10826.46;15304.97;0;0;0;0;0;0;57.26;0;0;0;0;0;0;0;1971.56
V; 5 t/m  9 jaar;OVERBETUWE;1323;1317.4;676437.25;136923.61;0;90162.95;26692.69;26073.53;67517.27;32078.04;190413.92;53900.99;114346.93;1311.43;3019.41;0;0;0;0;50;0;0;0;0;237.24;0;598.93;147591.52
V; 5 t/m  9 jaar;PAPENDRECHT;830;822.13;276440.48;49614.17;0;57828.2;17447.47;6503.81;32851.88;40350.05;112694.57;18413.65;87990.19;0;5740.98;0;0;0;0;761.56;0;0;0;0;0;0;369.4;8695.65
V; 5 t/m  9 jaar;PEEL EN MAAS;981;976.36;380418.55;39201.52;0;67094.86;20668.75;5345.58;35861.53;25700.21;144952.33;22512.12;106500.58;478.64;2060.54;0;0;0;0;228.21;0;0;0;29586.51;0;0;333.18;28645.23
V; 5 t/m  9 jaar;PEKELA;329;327.31;272854.51;24856.08;0;22923.26;8081.55;911.21;22214.14;25052.52;41615.64;15065.2;23281.47;1683.04;862.51;0;0;0;0;0;0;0;0;12816.2;0;0;117.93;11383.56
V; 5 t/m  9 jaar;PIJNACKER-NOOTDORP;1719;1704.83;546873.21;62892.58;0;118680.55;4709.16;6623.02;158648.57;39879.04;294459.66;35806.03;104189.27;0;6220.2;0;0;0;0;578.5;0;0;0;9560.28;0;0;4764.38;17828.17
V; 5 t/m  9 jaar;PURMEREND;2152;2133.85;697760.85;110099.17;0;151264.6;48122.03;16305.11;132289.58;111832.4;428508.02;24605.26;211549.45;2407.59;9246.71;0;0;0;0;1039.02;0;0;0;177912.38;0;0;913.08;33253.99
V; 5 t/m  9 jaar;PUTTEN;668;661.55;175029.72;22322.34;0;46718.1;11757.48;25293.07;27812.04;29921.52;120352.61;14239.36;81082.02;0;1790.72;0;0;0;0;50;0;0;0;4001.8;0;0;457.44;10316.9
V; 5 t/m  9 jaar;RAALTE;947;938.36;335135.53;38047.32;0;66925.58;14712.72;3612.3;60916.06;17997.82;128066.36;45646.24;105480.4;786.4;0;0;0;0;0;237.46;0;0;0;86938.96;0;0;108.1;23206.31
V; 5 t/m  9 jaar;REIMERSWAAL;728;720;203779.46;27245.92;0;49693.14;11986.81;61.31;31689.65;31155.25;73320.75;16597.47;64842.68;7884.32;836.23;0;0;0;0;86.8;0;0;0;0;0;0;65.62;49182.37
V; 5 t/m  9 jaar;RENKUM;653;649.42;235620.26;37850.7;0;46162.52;12364.89;9664.84;30009.41;53572.19;91201.35;16957.01;72972.56;0;862.51;0;0;0;0;359.68;0;0;0;200678.48;0;0;59.22;66915.84
V; 5 t/m  9 jaar;RENSWOUDE;194;193.58;40880.14;4209.95;0;13680.62;3757.49;175.28;8751.22;16423.91;35398.02;4991.81;21759.98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19859.14
