GESLACHT;LEEFTIJDSKLASSE;GEMEENTENAAM;AANTAL_BSN;AANTAL_VERZEKERDEJAREN;KOSTEN_MEDISCH_SPECIALISTISCHE_ZORG;KOSTEN_FARMACIE;KOSTEN_SPECIALISTISCHE_GGZ;KOSTEN_HUISARTS_INSCHRIJFTARIEF;KOSTEN_HUISARTS_CONSULT;KOSTEN_HUISARTS_MDZ;KOSTEN_HUISARTS_OVERIG;KOSTEN_HULPMIDDELEN;KOSTEN_MONDZORG;KOSTEN_PARAMEDISCHE_ZORG_FYSIOTHERAPIE;KOSTEN_PARAMEDISCHE_ZORG_OVERIG;KOSTEN_ZIEKENVERVOER_ZITTEND;KOSTEN_ZIEKENVERVOER_LIGGEND;KOSTEN_KRAAMZORG;KOSTEN_VERLOSKUNDIGE_ZORG;KOSTEN_GENERALISTISCHE_BASIS_GGZ;KOSTEN_LANGDURIGE_GGZ;KOSTEN_GRENSOVERSCHRIJDENDE_ZORG;KOSTEN_EERSTELIJNS_ONDERSTEUNING;KOSTEN_GERIATRISCHE_REVALIDATIEZORG;KOSTEN_VERPLEGING_EN_VERZORGING;KOSTEN_OVERIG
V;30 t/m 34 jaar;ALPHEN AAN DEN RIJN;3283;3251.92;4204112.34;426427.64;846625.42;192480.69;160651.48;61271.83;214651.82;127828.66;12601.27;44700.5;17262.94;5422.83;54116.25;826156.48;567617.45;96987.07;126083.39;22443.05;60.16;23703.21;36422.33;2651.11
V;30 t/m 34 jaar;ALPHEN-CHAAM;235;231.63;266592.03;18408.39;12755.69;13386.07;10849.65;1946.92;5776.97;10936.17;2041.04;2423.55;1333.19;0;1901.27;75877;27644.48;2305.91;0;6317.79;3.76;0;30223.11;49555.49
V;30 t/m 34 jaar;ALTENA;1473;1468.49;1573034.17;359927.87;253714.34;86933.42;65274.25;5262.2;69128.24;53238.18;11639.89;9135.8;7196.67;10733.68;12191.9;426000.89;258664.92;44032.66;0;18711.04;16.92;0;24666.35;13869.18
V;30 t/m 34 jaar;AMELAND;97;96;171541.87;7875.21;9052.43;5651.23;5493.61;71.98;9751.8;5745.82;0;423.75;571.9;1053.88;9068.38;22266.95;15691.08;1977.38;0;0;85.54;0;1666.18;0
V;30 t/m 34 jaar;AMERSFOORT;5265;5213.43;6343964.34;600567.4;1650831.17;310041.94;253421.8;37687.87;301007.45;198072.66;41158.01;52708.3;28707.1;10160.9;64243.31;1490341.93;1008845.97;221231.59;0;57449.47;197.4;0;70005.6;31496.19
V;30 t/m 34 jaar;AMSTELVEEN;2511;2362.41;2329275.62;291941.67;707781.49;133707.3;93013.51;30108.43;109521.07;51208.46;3611.61;15088.65;9872.48;5300.68;44617.99;521605.15;401775.59;64352.72;0;16381.78;65.33;0;1048.41;2497.32
V;30 t/m 34 jaar;AMSTERDAM;42007;40503.92;38559551.42;4689814.75;13705107.7;2382402.93;1752480.93;338789.15;1810076.5;820230.43;127329.5;267105.42;159288.71;41472.61;606009.69;6733237.97;6509705.19;1523417.68;675819.46;606329.91;1495.07;0;836131.74;101922.22
V;30 t/m 34 jaar;APELDOORN;4462;4423.61;5283527.38;995582.69;1473637.52;259487.63;188543.44;17366.46;218182.86;190555.2;28154.46;31154.07;25392.42;60256.87;58187.47;1121895.02;855647.5;97847.52;145655.58;48785.45;130.66;0;85666.44;103314.89
V;30 t/m 34 jaar;APPINGEDAM;299;295.63;443257.06;75354.55;224459.81;17415.08;17081.39;7021.83;17751.21;21975.41;5203.25;1552.84;2020.98;0;12362.03;56359.81;37008.52;16341.14;0;0;8.93;0;42619.45;1678.25
V;30 t/m 34 jaar;ARNHEM;5595;5522.96;6077846.87;609582.92;2160069.66;325333.87;276516.22;33837.89;308344.4;196199.75;48318.5;33767.42;31239.48;27605.57;89078.08;1060727.74;867334.16;206362.55;0;56843.06;171.08;0;58508.87;13727.94
