GESLACHT;LEEFTIJDSKLASSE;GEMEENTENAAM;AANTAL_BSN;AANTAL_VERZEKERDEJAREN;KOSTEN_MEDISCH_SPECIALISTISCHE_ZORG;KOSTEN_FARMACIE;KOSTEN_SPECIALISTISCHE_GGZ;KOSTEN_HUISARTS_INSCHRIJFTARIEF;KOSTEN_HUISARTS_CONSULT;KOSTEN_HUISARTS_MDZ;KOSTEN_HUISARTS_OVERIG;KOSTEN_HULPMIDDELEN;KOSTEN_MONDZORG;KOSTEN_PARAMEDISCHE_ZORG_FYSIOTHERAPIE;KOSTEN_PARAMEDISCHE_ZORG_OVERIG;KOSTEN_ZIEKENVERVOER_ZITTEND;KOSTEN_ZIEKENVERVOER_LIGGEND;KOSTEN_KRAAMZORG;KOSTEN_VERLOSKUNDIGE_ZORG;KOSTEN_GENERALISTISCHE_BASIS_GGZ;KOSTEN_LANGDURIGE_GGZ;KOSTEN_GRENSOVERSCHRIJDENDE_ZORG;KOSTEN_EERSTELIJNS_ONDERSTEUNING;KOSTEN_GERIATRISCHE_REVALIDATIEZORG;KOSTEN_EERSTELIJNSVERBLIJF;KOSTEN_VERPLEGING_EN_VERZORGING;KOSTEN_OVERIG
M;30 t/m 34 jaar;BODEGRAVEN-REEUWIJK;979;966.01;432668.57;61371.39;119052.26;57833.21;18396.81;3408.13;35808.88;16583.18;4994.99;11247.75;1874.2;0;11730.75;0;0;10057.29;0;5305.29;5.17;0;0;4678;7414.97
M;30 t/m 34 jaar;BOEKEL;317;313.63;183211.56;16435.64;198391.22;18177.69;6750.43;570.43;11763.35;983.03;70.72;3272.55;475.7;626.2;8195.61;0;0;2750.51;83381.6;284.89;0;0;0;6184.12;3713.04
M;30 t/m 34 jaar;BORGER-ODOORN;566;564.62;252161.63;44584.51;164173.98;34609.73;14196.37;8323.29;23321.34;20295.6;1003.58;0;821.68;0;4313.85;0;0;5039.05;0;1222.15;11.28;0;0;1241.57;132.42
M;30 t/m 34 jaar;BORNE;641;640.66;230098.61;56187.04;128442.76;37985.81;15762.83;6609.7;32561.67;33907.93;859.94;16239.06;890.29;378;10535.67;0;0;10844.34;0;8070.88;13.16;0;0;492.43;338.68
M;30 t/m 34 jaar;BORSELE;656;648.45;321579.08;109057.86;130297;39356.34;11942.58;1673.67;24718.76;26949.36;2392.21;4748.85;892.48;2024.38;4712.78;0;0;5135.09;1165.25;11109.67;4.7;0;0;84.6;127
M;30 t/m 34 jaar;BOXMEER;669;661.42;250501;43414.74;239512.63;40121.57;16367.12;4209.24;25274.67;25682.66;3147.76;3979.8;820.71;0;5749.63;0;0;16273.23;0;18510.93;11.28;0;0;14234.32;599.22
M;30 t/m 34 jaar;BOXTEL;806;791.43;301795.57;97659.4;275235.28;47593.35;20881.81;6587.24;24748.3;18554.25;760.93;8994.65;4429.04;0;8359.87;0;0;11029.58;0;497.33;7.52;0;0;3132.36;3827.78
M;30 t/m 34 jaar;BREDA;5868;5753.19;2740401.38;877562.46;1763376.69;347022.66;126410.44;60356.28;177205.79;115543.21;49261.74;53363.16;15214.2;6726.71;98655.77;0;0;96620.77;0;30657.02;82.72;0;0;57764.83;10895.32
M;30 t/m 34 jaar;BRIELLE;472;464.18;242867.09;47092.91;124359.09;27570.42;10279.3;697.3;15331.42;6727.29;0;792.45;482.96;0;4474.25;0;0;5873.45;0;1091.29;3.76;0;0;0;259.36
M;30 t/m 34 jaar;BRONCKHORST;651;649.05;239532.02;40681.03;93820.34;39470.66;14214.28;4880.98;30080.04;10808.87;69.74;441.55;1671.94;0;5655.89;0;0;8829.57;0;2432.83;11.28;0;0;1970.49;74.19
