GESLACHT;LEEFTIJDSKLASSE;GEMEENTENAAM;AANTAL_BSN;AANTAL_VERZEKERDEJAREN;KOSTEN_MEDISCH_SPECIALISTISCHE_ZORG;KOSTEN_FARMACIE;KOSTEN_TWEEDELIJNS_GGZ;KOSTEN_HUISARTS_INSCHRIJFTARIEF;KOSTEN_HUISARTS_CONSULT;KOSTEN_HUISARTS_OVERIG;KOSTEN_HULPMIDDELEN;KOSTEN_MONDZORG;KOSTEN_PARAMEDISCHE_ZORG_FYSIOTHERAPIE;KOSTEN_PARAMEDISCHE_ZORG_OVERIG;KOSTEN_ZIEKENVERVOER_ZITTEND;KOSTEN_ZIEKENVERVOER_LIGGEND;KOSTEN_KRAAMZORG;KOSTEN_VERLOSKUNDIGE_ZORG;KOSTEN_EERSTELIJNS_PSYCHOLOGISCHE_ZORG;KOSTEN_GRENSOVERSCHRIJDENDE_ZORG;KOSTEN_EERSTELIJNS_ONDERSTEUNING;KOSTEN_GERIATRISCHE_REVALIDATIEZORG;KOSTEN_OVERIG
V;30 t/m 34 jaar;BUNNIK;289;285.2;364386.05;32675.15;101947.89;15896.73;9565.04;10969.54;7266.87;620.74;6320.8;1290.09;0;4687.04;100773.54;67072.9;2483.9;11.72;5.16;0;1578.07
V;30 t/m 34 jaar;BUNSCHOTEN;658;643.97;662793.8;113929.52;53282.42;35558.77;22934.73;26422.22;31344.82;1665.98;6168.86;4605.69;4144.43;8742.34;162562.48;124335.42;11281.28;2635.58;8.17;0;5418.69
V;30 t/m 34 jaar;BUREN;611;607.34;943394;138357.49;111140.88;33879.45;21990.19;30774.95;41404.88;80.56;5292.31;2261.47;2259.11;7025.46;145182.11;108676.34;5740;874.77;5.16;0;3556.97
V;30 t/m 34 jaar;CAPELLE AAN DEN IJSSEL;2082;2061.15;2494626.49;322088.31;521810.8;116123.63;85718.36;96638.45;67425.73;10204.54;8353.94;7602.68;4064.35;22705.46;380363.23;329505.02;16979.82;22627.43;27.95;0;14027.39
V;30 t/m 34 jaar;CASTRICUM;632;626.77;585474.82;91508.41;270241.22;35137.59;24884.26;20683.92;18495.29;49.7;6736.35;2298.44;1101.83;8827.03;186575.49;137514.86;9157.91;8758.25;9.89;0;6280.75
V;30 t/m 34 jaar;COEVORDEN;793;788.1;961949;117895.51;209432.29;43940.28;30846.93;45370.08;51345.58;2381.17;4825.56;2401.8;2268.64;14362.52;169559.49;122587.67;3476.66;1141.69;33.54;0;2765.27
V;30 t/m 34 jaar;CRANENDONCK;524;519.85;680971.11;92226.42;60208;28766.77;20111.84;17674.98;23271.38;2306.34;10834.6;5783.27;1987.39;4772.08;117580.59;77707.74;2299.26;39986.06;3.44;0;23055.54
V;30 t/m 34 jaar;CUIJK;663;651.23;797366.31;78812.6;124963.9;36414.23;26788.5;25280.31;22928.18;0;3840.66;3686;224.92;3919.22;161442.67;101755.26;6597.88;1521.48;5.16;0;1895.68
V;30 t/m 34 jaar;CULEMBORG;776;772.94;921453.27;127587.55;151474.93;42880.78;28518.04;39121.82;44000.02;641.04;15435.09;635.17;4129.28;13254.58;178604.57;144990;7059.22;2082.45;6.45;0;3247.53
V;30 t/m 34 jaar;DALFSEN;611;608.38;736036.6;115764.05;71156.95;34332.61;20987.39;27546.17;23695.3;6507.51;3238.13;2290.99;521.32;15045.02;226695.95;164490.47;2302.2;2903.86;20.21;0;1552.49
